hour,updated_type,updated_subtype,latitude_bin,longitude_bin,alert_count
0:00,Accident,Unclassified,41.94,-87.8,2
0:00,Accident,Unclassified,41.94,-87.79,1
0:00,Accident,Unclassified,41.94,-87.78,1
0:00,Accident,Unclassified,41.94,-87.77,1
0:00,Accident,Unclassified,41.94,-87.76,1
0:00,Accident,Unclassified,41.94,-87.75,6
0:00,Accident,Unclassified,41.94,-87.73,2
0:00,Accident,Unclassified,41.94,-87.72,4
0:00,Accident,Unclassified,41.94,-87.71,6
0:00,Accident,Unclassified,41.94,-87.7,4
0:00,Accident,Unclassified,41.94,-87.69,1
0:00,Accident,Unclassified,41.94,-87.68,1
0:00,Accident,Unclassified,41.94,-87.67,1
0:00,Accident,Unclassified,41.94,-87.65,3
0:00,Accident,Unclassified,41.94,-87.64,2
0:00,Accident,Unclassified,41.95,-87.84,2
0:00,Accident,Unclassified,41.95,-87.83,1
0:00,Accident,Unclassified,41.95,-87.8,2
0:00,Accident,Unclassified,41.95,-87.79,1
0:00,Accident,Unclassified,41.95,-87.78,1
0:00,Accident,Unclassified,41.95,-87.76,1
0:00,Accident,Unclassified,41.95,-87.74,2
0:00,Accident,Unclassified,41.95,-87.73,9
0:00,Accident,Unclassified,41.95,-87.72,6
0:00,Accident,Unclassified,41.95,-87.71,6
0:00,Accident,Unclassified,41.95,-87.69,4
0:00,Accident,Unclassified,41.95,-87.68,1
0:00,Accident,Unclassified,41.95,-87.66,1
0:00,Accident,Unclassified,41.95,-87.65,3
0:00,Accident,Unclassified,41.95,-87.64,6
0:00,Accident,Unclassified,41.96,-87.79,1
0:00,Accident,Unclassified,41.96,-87.77,1
0:00,Accident,Unclassified,41.96,-87.75,4
0:00,Accident,Unclassified,41.96,-87.74,3
0:00,Accident,Unclassified,41.96,-87.73,2
0:00,Accident,Unclassified,41.96,-87.72,2
0:00,Accident,Unclassified,41.96,-87.71,1
0:00,Accident,Unclassified,41.96,-87.7,2
0:00,Accident,Unclassified,41.96,-87.69,2
0:00,Accident,Unclassified,41.96,-87.68,3
0:00,Accident,Unclassified,41.96,-87.67,2
0:00,Accident,Unclassified,41.96,-87.65,3
0:00,Accident,Unclassified,41.97,-87.77,5
0:00,Accident,Unclassified,41.97,-87.76,9
0:00,Accident,Unclassified,41.97,-87.75,10
0:00,Accident,Unclassified,41.97,-87.72,1
0:00,Accident,Unclassified,41.97,-87.71,2
0:00,Accident,Unclassified,41.97,-87.69,5
0:00,Accident,Unclassified,41.97,-87.68,1
0:00,Accident,Unclassified,41.97,-87.67,1
0:00,Accident,Unclassified,41.97,-87.66,1
0:00,Accident,Unclassified,41.97,-87.65,3
0:00,Accident,Unclassified,41.98,-87.9,2
0:00,Accident,Unclassified,41.98,-87.88,2
0:00,Accident,Unclassified,41.98,-87.85,1
0:00,Accident,Unclassified,41.98,-87.83,2
0:00,Accident,Unclassified,41.98,-87.82,3
0:00,Accident,Unclassified,41.98,-87.81,6
0:00,Accident,Unclassified,41.98,-87.8,7
0:00,Accident,Unclassified,41.98,-87.79,15
0:00,Accident,Unclassified,41.98,-87.78,4
0:00,Accident,Unclassified,41.98,-87.77,6
0:00,Accident,Unclassified,41.98,-87.76,1
0:00,Accident,Unclassified,41.98,-87.75,9
0:00,Accident,Unclassified,41.98,-87.74,2
0:00,Accident,Unclassified,41.98,-87.73,1
0:00,Accident,Unclassified,41.98,-87.71,5
0:00,Accident,Unclassified,41.98,-87.7,1
0:00,Accident,Unclassified,41.98,-87.68,2
0:00,Accident,Unclassified,41.98,-87.66,3
0:00,Accident,Unclassified,41.98,-87.65,3
0:00,Accident,Unclassified,41.99,-87.88,1
0:00,Accident,Unclassified,41.99,-87.79,1
0:00,Accident,Unclassified,41.99,-87.78,2
0:00,Accident,Unclassified,41.99,-87.75,8
0:00,Accident,Unclassified,41.99,-87.72,1
0:00,Accident,Unclassified,41.99,-87.71,3
0:00,Accident,Unclassified,41.99,-87.7,6
0:00,Accident,Unclassified,41.99,-87.69,7
0:00,Accident,Unclassified,41.99,-87.68,3
0:00,Accident,Unclassified,41.99,-87.67,1
0:00,Accident,Unclassified,41.99,-87.66,5
0:00,Accident,Unclassified,42.0,-87.82,1
0:00,Accident,Unclassified,42.0,-87.81,1
0:00,Accident,Unclassified,42.0,-87.79,3
0:00,Accident,Unclassified,42.0,-87.78,1
0:00,Accident,Unclassified,42.0,-87.76,1
0:00,Accident,Unclassified,42.0,-87.73,1
0:00,Accident,Unclassified,42.0,-87.71,1
0:00,Accident,Unclassified,42.0,-87.7,2
0:00,Accident,Unclassified,42.0,-87.69,1
0:00,Accident,Unclassified,42.0,-87.68,2
0:00,Accident,Unclassified,42.0,-87.66,1
0:00,Accident,Unclassified,42.01,-87.77,1
0:00,Accident,Unclassified,42.01,-87.71,1
0:00,Accident,Unclassified,42.01,-87.7,2
0:00,Accident,Unclassified,42.01,-87.66,1
0:00,Accident,Unclassified,42.02,-87.7,1
0:00,Accident,Unclassified,42.02,-87.66,1
0:00,Hazard,On Road,41.65,-87.62,1
0:00,Hazard,On Road,41.65,-87.58,14
0:00,Hazard,On Road,41.65,-87.56,2
0:00,Hazard,On Road,41.66,-87.64,3
0:00,Hazard,On Road,41.66,-87.62,1
0:00,Hazard,On Road,41.66,-87.61,2
0:00,Hazard,On Road,41.66,-87.6,3
0:00,Hazard,On Road,41.66,-87.59,28
0:00,Hazard,On Road,41.66,-87.58,11
0:00,Hazard,On Road,41.66,-87.57,5
0:00,Hazard,On Road,41.66,-87.56,1
0:00,Hazard,On Road,41.67,-87.63,1
0:00,Hazard,On Road,41.67,-87.6,9
0:00,Hazard,On Road,41.67,-87.59,7
0:00,Hazard,On Road,41.68,-87.72,4
0:00,Hazard,On Road,41.68,-87.7,4
0:00,Hazard,On Road,41.68,-87.67,3
0:00,Hazard,On Road,41.68,-87.64,1
0:00,Hazard,On Road,41.68,-87.6,12
0:00,Hazard,On Road,41.69,-87.69,2
